resetn,read_enb_0,read_enb_1,read_enb_2,pkt_valid,data_in,data_out_0,data_out_1,data_out_2,valid_out_0,valid_out_1,valid_out_2,error,busy
0,x,x,x,x,  x,  x,  x,  x,x,x,x,0,x
1,0,1,0,1, 12,  z,252,  z,0,1,0,0,0
1,0,1,0,1,253,  z,198,  z,0,1,0,0,0
1,0,1,0,1,  7,  z,163,  z,0,1,0,0,0
1,0,1,0,1,100,  z, 50,  z,0,1,0,0,0
1,0,1,0,1,152,  z, 12,  z,0,1,0,0,0
1,0,1,0,1, 91,  z,253,  z,0,1,0,0,0
1,0,1,0,1,  0,  z,  7,  z,0,1,0,0,0
1,0,1,0,1,148,  z,100,  z,0,1,0,0,0
1,0,1,0,1,165,  z,152,  z,0,1,0,0,0
1,0,1,0,1,244,  z, 91,  z,0,1,0,0,0
1,0,1,0,1,163,  z,  0,  z,0,1,0,0,0
1,0,1,0,1,102,  z,148,  z,0,1,0,0,0
1,0,1,0,1,249,  z,165,  z,0,1,0,0,0
1,0,1,0,1, 51,  z,244,  z,0,1,0,0,0
1,0,1,0,1,223,  z,163,  z,0,1,0,0,0
1,0,1,0,1, 31,  z,102,  z,0,1,0,0,0
1,0,1,0,1, 84,  z,249,  z,0,1,0,0,0
1,0,1,0,1, 74,  z, 51,  z,0,1,0,0,0
1,0,1,0,1, 37,  z,223,  z,0,1,0,0,0
1,0,1,0,1,108,  z, 31,  z,0,1,0,0,0
1,0,1,0,1,251,  z, 84,  z,0,1,0,0,0
1,0,1,0,1, 11,  z, 74,  z,0,1,0,0,0
1,0,1,0,0,126,  z, 37,  z,0,1,0,0,0
1,0,1,0,0,126,  z,108,  z,0,1,0,0,1
1,0,1,0,0,126,  z,251,  z,0,1,0,0,1
1,0,1,0,0,126,  z, 11,  z,0,1,0,0,0
1,0,1,0,0,126,  z,126,  z,0,0,0,0,0
1,0,0,0,0,126,  z,  z,  z,0,0,0,0,0
1,0,0,0,0,126,  z,  z,  z,0,0,0,0,0
1,0,0,0,0,126,  z,  z,  z,0,0,0,0,0
1,0,0,0,1,238,  z,  z,  z,0,0,0,0,0
1,0,0,0,1,238,  z,  z,  z,0,0,0,0,1
1,0,0,0,1, 70,  z,  z,  z,0,0,0,0,0
1,0,0,0,1,166,  z,  z,  z,0,0,1,0,0
1,0,0,1,1, 16,  z,  z,  z,0,0,1,0,0
1,0,0,1,1, 98,  z,  z,238,0,0,1,0,0
1,0,0,1,1, 36,  z,  z, 70,0,0,1,0,0
1,0,0,1,1, 68,  z,  z,166,0,0,1,0,0
1,0,0,1,1,178,  z,  z, 16,0,0,1,0,0
1,0,0,1,1, 61,  z,  z, 98,0,0,1,0,0
1,0,0,1,1, 77,  z,  z, 36,0,0,1,0,0
1,0,0,1,1,130,  z,  z, 68,0,0,1,0,0
1,0,0,1,1,136,  z,  z,178,0,0,1,0,0
1,0,0,1,1,162,  z,  z, 61,0,0,1,0,0
1,0,0,1,1,160,  z,  z, 77,0,0,1,0,0
1,0,0,1,1,116,  z,  z,130,0,0,1,0,0
1,0,0,1,1,197,  z,  z,136,0,0,1,0,0
1,0,0,1,1, 45,  z,  z,162,0,0,1,0,0
1,0,0,1,1, 29,  z,  z,160,0,0,1,0,0
1,0,0,1,1,144,  z,  z,116,0,0,1,0,0
1,0,0,1,1, 45,  z,  z,197,0,0,1,0,0
1,0,0,1,1, 96,  z,  z, 45,0,0,1,0,0
1,0,0,1,1, 85,  z,  z, 29,0,0,1,0,0
1,0,0,1,1, 79,  z,  z,144,0,0,1,0,0
1,0,0,1,1,239,  z,  z, 45,0,0,1,0,0
1,0,0,1,1, 19,  z,  z, 96,0,0,1,0,0
1,0,0,1,1,192,  z,  z, 85,0,0,1,0,0
1,0,0,1,1,107,  z,  z, 79,0,0,1,0,0
1,0,0,1,1,149,  z,  z,239,0,0,1,0,0
1,0,0,1,1,  5,  z,  z, 19,0,0,1,0,0
1,0,0,1,1, 88,  z,  z,192,0,0,1,0,0
1,0,0,1,1, 57,  z,  z,107,0,0,1,0,0
